login do usuario avaliado;Quantidade de reações nas issues;Popularidade do repositório;Média de watchers
baidu;0;0;0
Trinea;1634.25;192.17;0
docker-library;0;0;0
acss-io;0;0;0
benoitc;4.48;2.35;0
mkoehnke;27.72;2.35;0
justone;0.41;1.05;0
symfony;0;0;0
cpp-taskflow;0;0;0
erguotou520;64.63;2.98;0
daliansky;149.86;10.32;0
ionic-team;0;0;0
Ehco1996;87.34;4.56;0
oauth2-proxy;0;0;0
nndl;0;0;0
bolan9999;527.75;12.25;0
ageitgey;793.73;34.55;0
rancher;0;0;0
maicss;67.61;4.93;0
chaokunyang;15.66;3.64;0
Hitachi-Automotive-And-Industry-Lab;0;0;0
coronalabs;0;0;0
CoderJackyHuang;55.51;3.24;0
IcaliaLabs;0;0;0
danielsabinasz;106.00;7.33;0
brentvatne;30.16;0.91;0
scalacenter;0;0;0
Eli-Fox;50.54;2.62;0
jonathan-fielding;0.57;0.25;0
bstavroulakis;35.92;3.54;0
canvasowl;30.62;4.14;0
stayradiated;0.68;1.43;0
amethyst-framework;0;0;0
talentdeficit;34.12;3.41;0
bamos;365.06;22.12;0
emmjaykay;32.38;3.81;0
line;0;0;0
deepmind;0;0;0
AntJanus;13.12;1.30;0
spencercarli;27.88;2.39;0
trebonian;55.69;5.00;0
brave;0;0;0
scrapinghub;0;0;0
ScottLogic;0;0;0
gdg-x;0;0;0
shaoanlu;153.15;9.92;0
adriankumpf;17.46;2.00;0
byteam;0;0;0
allenwong;2331.20;123.00;0
apping;0;0;0
onlylemi;31.53;2.75;0
spring-guides;0;0;0
medooze;0;0;0
aivivn;169.60;17.80;0
usnistgov;0;0;0
citelao;10.53;1.15;0
beatgammit;18.91;2.30;0
dotnet-architecture;0;0;0
ericandrewlewis;0.50;0.17;0
WhatsNewSaes;121.86;6.57;0
wetube;0;0;0
machty;13.52;1.42;0
mobingi;0;0;0
MatthewYork;417.42;15.21;0
egeerardyn;18.86;1.74;0
EssentialsX;0;0;0
ericclemmons;62.00;3.05;0
DominikSerafin;60.73;2.36;0
lenve;406.72;22.33;0
whvcse;60.87;2.00;0
drupal-rain;0;0;0
APNIC-net;0;0;0
LordFokas;3.67;2.67;0
ivorocha90;0.16;1.00;0
agenceepsilon;0;0;0
pankeshpatel;0.26;0.70;0
holms;2.49;1.20;0
apiguy;21.48;1.74;0
rubik;20.39;2.85;0
Janne69;3.00;1.00;0
jakowicz;1.22;0.67;0
bartj3;2.31;1.15;0
luxflux;4.75;1.28;0
valet-io;0;0;0
jpinnix;0.53;1.02;0
lazarogamio;1.88;1.50;0
SimplyMinimal;0.50;0.80;0
chazzbg;0.15;1.22;0
mohamed-ahmed;0.13;1.04;0
Ravenons;0.64;1.27;0
donaldheer;0.50;2.67;0
michalkvasnicak;26.13;2.33;0
maxogden;107.02;4.82;0
aurelien974;1.11;2.00;0
LEAMgroup;0;0;0
kmdsbng;0.60;1.05;0
tec7z7;0.83;1.67;0
operatino;7.69;1.44;0
yonetin;0.55;1.09;0
ztmr;1.13;1.28;0
acqant;0.29;1.07;0
fson;120.08;2.98;0
jayofdoom;0.77;0.06;0
agjacome;0.32;1.07;0
DCBoland;0.45;1.14;0
oleksiyk;10.85;1.76;0
yamadapc;6.31;1.54;0
pnetesa;0.64;1.36;0
anurag-ks;0.41;1.11;0
mvemjsun;7.39;0.89;0
nakosung;31.70;3.03;0
i-rinat;38.73;5.10;0
yageek;2.33;1.12;0
blackdotsh;28.70;4.50;0
Anbruch;0;0;0
kshsieh;0.26;0.13;0
ZiB;5.47;1.71;0
patarleth;0.63;1.25;0
windbender;0.33;0.90;0
threeifbywhiskey;2.36;1.14;0
hakirisec;0;0;0
OFFIS-Automation;0;0;0
TeamRegular;0;0;0
stravaganza;0;0;0
kaleidos;0;0;0
selectany;4.00;1.67;0
bobbijvoet;0.47;1.15;0
rishabhmhjn;1.03;1.29;0
mwelburn;0.37;1.19;0
DummyDivision;0;0;0
tony915;1.25;1.50;0
last-g;0.55;1.48;0
yhez;0.67;1.67;0
omnirom;0;0;0
slembcke;41.10;5.82;0
kngenie;1.39;1.26;0
eee-c;13.63;1.60;0
codio;0;0;0
drahmel;1.54;1.33;0
cxjwin;3.24;1.16;0
bgaster;3.34;1.58;0
rvbiljouw;2.22;2.00;0
vasyabigi;19.88;1.42;0
solatis;1.02;0.82;0
stekycz;5.22;1.57;0
mxcl;344.30;8.69;0
hsp-users-jp;0;0;0
ghik;11.44;3.09;0
na2hiro;5.46;2.26;0
sbkwgh;8.33;1.61;0
lucacapacci;0.75;1.38;0
jlord;244.86;11.79;0
tjmehta;3.35;1.03;0
martinsookael;0.49;1.46;0
wira;1.83;2.39;0
BrightcoveOS;0;0;0
dharmeshjogadia;0.36;0.82;0
Bleusir;3.00;6.00;0
vovantics;2.89;1.11;0
meducation;0;0;0
bensteinberg;0.06;0.84;0
francesco-ficarola;7.00;1.87;0
ziyiyang8;0.33;1.13;0
NV;53.07;8.67;0
laurayco;1.18;1.18;0
danieldrucker;0.25;2.08;0
wearscript;0;0;0
aclindsa;8.39;1.87;0
jopefunk;1.33;3.67;0
adereth;79.88;7.65;0
http2;0;0;0
reduxjs;0;0;0
zhedahht;248.33;12.67;0
garyaiki;60.00;8.00;0
mythkiven;30.59;0.93;0
bblfsh;0;0;0
Leonard-Xu;271.00;21.00;0
vega;0;0;0
zhebrak;38.48;3.14;0
Tairraos;37.89;6.33;0
naoina;14.08;0.90;0
kaishengtai;226.67;16.17;0
iridakos;93.67;3.97;0
hashicorp;0;0;0
hendrycks;42.68;2.19;0
JanGorman;18.00;1.55;0
hunglc007;18.07;1.87;0
HoLyVieR;12.43;0.60;0
hahwul;39.37;3.80;0
uber;0;0;0
flexunit;0;0;0
l1k;14.65;3.10;0
gaolonglong;20.76;1.88;0
Arasthel;22.25;2.59;0
parallax;0;0;0
Jorl17;17.37;2.53;0
nvdla;0;0;0
NVlabs;0;0;0
kz26;22.90;2.84;0
censujiang;40.86;1.29;0
andresinaka;45.67;1.54;0
sibson;25.75;2.28;0
jmatth;4.57;1.07;0
0xeb-bp;75.25;5.75;0
zhengthomastang;42.00;6.00;0
jaredfolkins;4.83;0.95;0
sheefee;271.00;20.00;0
ufoym;95.64;4.28;0
danneu;10.30;1.84;0
xavierlacot;7.57;1.86;0
cheapsteak;0.42;0.89;0
NascHQ;0;0;0
careermonk;157.44;27.67;0
digitalbond;0;0;0
hypercube1024;22.92;5.58;0
gotify;0;0;0
etianen;180.12;9.24;0
realm;0;0;0
drbh;5.49;1.02;0
likaiyuan559;208.50;8.00;0
gdelugre;41.25;4.69;0
zerosum0x0;54.75;4.61;0
matsuu;9.21;1.44;0
zalando;0;0;0
jpmorganchase;0;0;0
kfix;27.85;2.21;0
tencentyun;0;0;0
dadoonet;2.17;0.83;0
Javacord;0;0;0
Aracki;472.36;6.47;0
microsoft;0;0;0
TRI-ML;0;0;0
Harrison1;3.50;0.74;0
everydayrails;0;0;0
jabbalaci;11.24;1.96;0
google;0;0;0
tg-bomze;46.33;3.78;0
enylin;90.33;3.00;0
deliciousbrains;0;0;0
jvehent;11.19;2.99;0
CrunchyData;0;0;0
chankeh;4.37;0.13;0
zhreshold;23.94;2.65;0
terraform-providers;0;0;0
jtesta;57.41;5.03;0
nahamsec;355.38;20.88;0
atomicbird;104.16;5.18;0
judah4;4.55;1.76;0
dnasseri;43.25;2.38;0
freqdec;305.17;16.00;0
