Nome/Dono;	URL;	Linguagem Primária;	Pull Requests Aceitas;	Releases;	Issues Fechadas;	Total de Issues;	Data de Criação;	Última Atualização;
wtfutil/wtf;	https://github.com/wtfutil/wtf;	Go;	447;	53;	324;	377;	2018-03-29T02:42:12Z;	2020-05-10T23:12:31Z;
grpc/grpc-go;	https://github.com/grpc/grpc-go;	Go;	1872;	62;	1223;	1341;	2014-12-08T18:59:34Z;	2020-05-11T01:14:00Z;
julienschmidt/httprouter;	https://github.com/julienschmidt/httprouter;	Go;	40;	4;	161;	203;	2013-12-05T15:10:55Z;	2020-05-10T16:36:57Z;
CodisLabs/codis;	https://github.com/CodisLabs/codis;	Go;	101;	37;	1313;	1564;	2014-10-27T05:26:11Z;	2020-05-11T01:16:43Z;
go-martini/martini;	https://github.com/go-martini/martini;	Go;	156;	3;	211;	220;	2013-10-30T02:34:07Z;	2020-05-09T08:34:38Z;
quii/learn-go-with-tests;	https://github.com/quii/learn-go-with-tests;	Go;	224;	28;	82;	100;	2018-03-02T11:41:14Z;	2020-05-10T20:37:40Z;
jaegertracing/jaeger;	https://github.com/jaegertracing/jaeger;	Go;	914;	32;	737;	1071;	2016-04-15T18:49:02Z;	2020-05-10T20:55:37Z;
gocolly/colly;	https://github.com/gocolly/colly;	Go;	119;	4;	259;	324;	2017-09-29T14:08:49Z;	2020-05-11T01:03:56Z;
fogleman/primitive;	https://github.com/fogleman/primitive;	Go;	5;	0;	40;	65;	2016-09-13T03:01:10Z;	2020-05-10T22:31:28Z;
boltdb/bolt;	https://github.com/boltdb/bolt;	Go;	299;	5;	285;	369;	2013-12-20T18:26:14Z;	2020-05-10T08:39:33Z;
