Nome/Dono;	URL;	Linguagem Primária;	Pull Requests Aceitas;	Releases;	Issues Fechadas;	Total de Issues;	Data de Criação;	Última Atualização;
microsoft/VisualStudioUninstaller;	https://github.com/microsoft/VisualStudioUninstaller;	C#;	22;	5;	44;	86;	2015-09-19T00:36:01Z;	2020-05-10T16:47:15Z;
egametang/ET;	https://github.com/egametang/ET;	C#;	44;	0;	55;	62;	2010-06-27T15:50:52Z;	2020-05-10T17:32:31Z;
dotnet-state-machine/stateless;	https://github.com/dotnet-state-machine/stateless;	C#;	100;	0;	215;	239;	2014-08-15T19:57:39Z;	2020-05-10T18:54:18Z;
jstedfast/MailKit;	https://github.com/jstedfast/MailKit;	C#;	47;	0;	935;	936;	2013-12-07T04:07:06Z;	2020-05-10T14:31:42Z;
xamarin/xamarin-forms-samples;	https://github.com/xamarin/xamarin-forms-samples;	C#;	195;	1216;	326;	342;	2014-04-27T20:42:11Z;	2020-05-10T22:02:40Z;
Unity-Technologies/PostProcessing;	https://github.com/Unity-Technologies/PostProcessing;	C#;	127;	9;	430;	726;	2016-10-10T07:01:21Z;	2020-05-10T07:31:45Z;
AngleSharp/AngleSharp;	https://github.com/AngleSharp/AngleSharp;	C#;	186;	23;	641;	650;	2013-06-05T12:05:34Z;	2020-05-10T14:34:35Z;
dotnetcore/Util;	https://github.com/dotnetcore/Util;	C#;	27;	0;	38;	38;	2017-07-05T09:00:23Z;	2020-05-10T14:33:55Z;
Topshelf/Topshelf;	https://github.com/Topshelf/Topshelf;	C#;	74;	0;	349;	420;	2010-07-16T13:28:06Z;	2020-05-06T13:39:08Z;
MvvmCross/MvvmCross;	https://github.com/MvvmCross/MvvmCross;	C#;	1449;	24;	1757;	1967;	2011-11-28T22:45:55Z;	2020-05-10T18:04:41Z;
HMBSbige/ShadowsocksR-Windows;	https://github.com/HMBSbige/ShadowsocksR-Windows;	C#;	12;	33;	0;	0;	2018-04-19T04:53:38Z;	2020-05-11T01:12:24Z;
domaindrivendev/Swashbuckle.AspNetCore;	https://github.com/domaindrivendev/Swashbuckle.AspNetCore;	C#;	211;	18;	1092;	1304;	2015-03-16T05:49:00Z;	2020-05-10T23:15:43Z;
aspnet/JavaScriptServices;	https://github.com/aspnet/JavaScriptServices;	C#;	101;	2;	1470;	1470;	2015-11-02T01:24:11Z;	2020-05-10T09:10:18Z;
ExtendRealityLtd/VRTK;	https://github.com/ExtendRealityLtd/VRTK;	C#;	739;	12;	1055;	1091;	2016-04-23T20:55:19Z;	2020-05-10T06:16:08Z;
quasar/QuasarRAT;	https://github.com/quasar/QuasarRAT;	C#;	166;	9;	404;	541;	2014-07-08T12:27:59Z;	2020-05-10T23:59:26Z;
udacity/self-driving-car-sim;	https://github.com/udacity/self-driving-car-sim;	C#;	3;	11;	68;	111;	2017-02-08T03:31:26Z;	2020-05-10T17:08:51Z;
JanKallman/EPPlus;	https://github.com/JanKallman/EPPlus;	C#;	15;	3;	142;	522;	2017-07-12T06:59:15Z;	2020-05-10T18:42:57Z;
intel/acat;	https://github.com/intel/acat;	C#;	0;	6;	8;	58;	2015-02-17T22:36:34Z;	2020-05-08T21:13:31Z;
TheBerkin/rant;	https://github.com/TheBerkin/rant;	C#;	36;	2;	77;	86;	2014-08-03T22:21:51Z;	2020-05-10T22:29:31Z;
autofac/Autofac;	https://github.com/autofac/Autofac;	C#;	97;	29;	952;	974;	2014-01-22T12:53:28Z;	2020-05-10T11:44:57Z;
louthy/language-ext;	https://github.com/louthy/language-ext;	C#;	206;	67;	480;	516;	2014-11-16T23:49:58Z;	2020-05-10T11:30:59Z;
neo-project/neo;	https://github.com/neo-project/neo;	C#;	610;	1;	601;	721;	2015-05-31T17:02:33Z;	2020-05-11T00:13:59Z;
dotnet/standard;	https://github.com/dotnet/standard;	C#;	952;	5;	659;	738;	2016-08-31T20:27:23Z;	2020-05-09T03:49:39Z;
Fody/Fody;	https://github.com/Fody/Fody;	C#;	286;	113;	521;	524;	2012-07-07T01:15:56Z;	2020-05-11T01:10:17Z;
VsVim/VsVim;	https://github.com/VsVim/VsVim;	C#;	552;	10;	2066;	2224;	2009-11-29T01:59:00Z;	2020-05-10T11:46:59Z;
umbraco/Umbraco-CMS;	https://github.com/umbraco/Umbraco-CMS;	C#;	4293;	1;	1999;	2530;	2013-06-10T13:50:46Z;	2020-05-10T02:57:28Z;
StockSharp/StockSharp;	https://github.com/StockSharp/StockSharp;	C#;	197;	50;	0;	0;	2014-12-08T07:53:44Z;	2020-05-10T17:46:00Z;
bchavez/Bogus;	https://github.com/bchavez/Bogus;	C#;	103;	96;	173;	175;	2015-06-06T18:28:14Z;	2020-05-11T01:12:35Z;
protobuf-net/protobuf-net;	https://github.com/protobuf-net/protobuf-net;	C#;	128;	1;	185;	460;	2014-06-16T09:05:30Z;	2020-05-10T21:59:00Z;
migueldeicaza/TensorFlowSharp;	https://github.com/migueldeicaza/TensorFlowSharp;	C#;	76;	0;	197;	371;	2017-01-16T04:18:28Z;	2020-05-10T00:28:11Z;
Accelerider/BaiduPanDownloadWinform;	https://github.com/Accelerider/BaiduPanDownloadWinform;	C#;	4;	8;	61;	132;	2016-10-06T06:36:08Z;	2020-05-09T06:10:13Z;
domaindrivendev/Swashbuckle;	https://github.com/domaindrivendev/Swashbuckle;	C#;	102;	5;	883;	1178;	2013-06-18T00:04:27Z;	2020-05-08T10:34:35Z;
kgrzybek/modular-monolith-with-ddd;	https://github.com/kgrzybek/modular-monolith-with-ddd;	C#;	16;	0;	27;	46;	2019-08-23T00:12:03Z;	2020-05-10T23:27:48Z;
fanliang11/surging;	https://github.com/fanliang11/surging;	C#;	33;	3;	108;	326;	2017-06-16T13:17:30Z;	2020-05-10T12:40:36Z;
